date,no,league,lgc,lam,xg_h,xg_a,shot_h,shot_a,sot_h,sot_a,cor_h,cor_a,big_h,big_a,inj_h,inj_a,temp,rain,rank_gap,h2h_edge,xg_diff,shot_diff,sot_diff,cor_diff,big_diff,inj_diff,act,act_dir,act_htft,act_balls,act_h,act_a,act_hh,act_ha,v11_dir_hit,v11_score_hit,v11_ht_hit,v11_ou_hit
2026-08-06,002,欧冠资格赛,lg-ucl,,,,,,3.0,4.0,6.0,5.0,,,,,,,,,,,-1.0,1.0,,,2-1（1-0）,主胜,胜胜,3,2,1,1.0,0.0,no,no,no,
2026-08-06,003,欧冠资格赛,lg-ucl,,,,17.0,5.0,10.0,1.0,4.0,2.0,,,,,,,,,,12.0,9.0,2.0,,,2-0（2-0）,主胜,胜胜,2,2,0,2.0,0.0,ok,ok,ok,
2026-08-06,004,欧联资格赛,lg-uel,,,,,,,,,,,,,,,,,,,,,,,,1-1（0-1）,平,负平,2,1,1,0.0,1.0,ok,ok,no,
2026-08-09,001,日职联,lg-j1,,2.0,1.36,15.0,15.0,,,,,,,,,,,,,0.6399999999999999,0.0,,,,,1-1（0-0）,平,平平,2,1,1,0.0,0.0,ok,ok,ok,
2026-08-09,002,日职乙,lg-j1,,1.95,0.78,16.0,10.0,,,,,,,,,,,,,1.17,6.0,,,,,2-1（2-0）,主胜,胜胜,3,2,1,2.0,0.0,no,no,no,
2026-08-09,003,日职乙,lg-j2,,,,19.0,18.0,5.0,5.0,6.0,6.0,,,,,,,,,,1.0,0.0,0.0,,,2-0（1-0）,主胜,胜胜,2,2,0,1.0,0.0,no,no,no,
2026-08-09,004,荷甲,lg-ered,,0.97,3.59,10.0,22.0,,,,,,,,,,,,,-2.62,-12.0,,,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,ok,ok,ok,
2026-08-09,005,德乙,lg-bundes2,,1.72,1.78,18.0,15.0,,,,,,,,,,,,,-0.06000000000000005,3.0,,,,,1-1（0-0）,平,平平,2,1,1,0.0,0.0,ok,ok,ok,
2026-08-09,006,德乙,lg-bundes2,,2.23,1.96,16.0,10.0,,,,,,,,,,,,,0.27,6.0,,,,,3-0（2-0）,主胜,胜胜,3,3,0,2.0,0.0,ok,no,ok,
2026-08-09,007,瑞超,lg-swe,,1.68,0.2,16.0,2.0,,,,,,,,,,,,,1.48,14.0,,,,,3-0（2-0）,主胜,胜胜,3,3,0,2.0,0.0,ok,no,ok,
2026-08-09,008,芬超,lg-fin,,,,15.0,17.0,5.0,3.0,,,,,,,,,,,,-2.0,2.0,,,,1-1（1-0）,平,胜平,2,1,1,1.0,0.0,ok,ok,no,
2026-08-09,011,挪超,lg-nor,,2.11,2.78,17.0,16.0,,,,,,,,,,,,,-0.6699999999999999,1.0,,,,,0-2,客胜,,2,0,2,,,no,no,no,
2026-08-09,012,芬超,lg-fin,,,,19.0,14.0,3.0,1.0,,,,,,,,,,,,5.0,2.0,,,,0-0（0-0）,平,平平,0,0,0,0.0,0.0,ok,ok,ok,
2026-08-09,013,瑞超,lg-swe,,0.94,3.06,15.0,20.0,,,,,,,,,,,,,-2.12,-5.0,,,,,0-2（0-0）,客胜,平负,2,0,2,0.0,0.0,no,no,no,
2026-08-09,014,瑞超,lg-swe,,2.39,0.67,20.0,10.0,,,,,,,,,,,,,1.7200000000000002,10.0,,,,,3-2（1-1）,主胜,平胜,5,3,2,1.0,1.0,ok,no,ok,
2026-08-09,016,挪超,lg-nor,,2.17,0.7,13.0,10.0,,,,,,,,,,,,,1.47,3.0,,,,,1-1（0-1）,平,负平,2,1,1,0.0,1.0,ok,ok,no,
